,freesound_id,id,path,start_sample,end_sample,loudness,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12
36,,None_f36,518488__cyclez__dark-techno-kick-drum-loop.wav,147456,151552,0.00874316692352295,-800.98755,173.87845,30.8763,111.114845,17.590206,46.609245,19.672676,7.9103584,18.989227,4.824486,-7.5902824,5.442108,7.1974792
37,,None_f37,518488__cyclez__dark-techno-kick-drum-loop.wav,151552,155648,0.010268829762935638,-864.6639,186.13675,0.28998947,107.31752,19.001896,49.81008,37.75766,11.118689,22.72319,-5.14756,-2.2596893,10.990589,4.8962326
38,,None_f38,518488__cyclez__dark-techno-kick-drum-loop.wav,155648,159744,0.007456429302692413,-964.15295,159.45488,22.506527,114.082,44.55668,50.41929,31.413918,7.499199,33.27568,11.5372505,0.6912079,12.509815,16.593777
39,,None_f39,518488__cyclez__dark-techno-kick-drum-loop.wav,159744,163840,0.003550581634044647,-1003.0678,168.36377,80.26132,97.39305,38.29852,39.043327,21.92691,14.232483,10.73539,6.2450485,3.6963005,12.796993,13.198288
40,,None_f40,518488__cyclez__dark-techno-kick-drum-loop.wav,163840,167936,0.0020408642012625933,-949.1543,218.112,55.857616,88.00047,12.193432,14.8394165,13.736725,-6.0645523,17.11076,0.6080284,3.831726,7.3813133,3.2257843
41,,None_f41,518488__cyclez__dark-techno-kick-drum-loop.wav,167936,172032,0.007488108705729246,-743.9229,148.0116,11.562149,104.267975,8.324974,46.65986,18.457253,6.261551,13.066208,0.20338058,-8.202843,2.0394897,-0.7754936
42,,None_f42,518488__cyclez__dark-techno-kick-drum-loop.wav,172032,176128,0.00895292405039072,-928.11206,181.31439,19.8623,115.84808,37.256218,45.83312,32.634575,5.7545395,32.884705,4.512005,-4.280216,9.304523,13.821392
43,,None_f43,518488__cyclez__dark-techno-kick-drum-loop.wav,176128,180224,0.0076553234830498695,-1065.5164,163.23825,75.96239,92.24646,50.774467,45.162186,40.23754,20.952374,26.509995,11.007198,4.6885796,14.23661,16.573895
44,,None_f44,518488__cyclez__dark-techno-kick-drum-loop.wav,180224,184320,0.004298945888876915,-977.0738,195.8247,80.338425,95.63954,29.559242,35.043274,14.411629,7.0219116,11.3117485,6.8314743,4.071663,11.740269,9.161789
45,,None_f45,518488__cyclez__dark-techno-kick-drum-loop.wav,184320,188416,0.0017806481337174773,-881.92334,199.35522,26.601376,107.23808,6.7601585,24.956116,4.9781723,-6.994934,13.132381,1.2069702,3.8022957,4.2442436,3.9552917
46,,None_f46,518488__cyclez__dark-techno-kick-drum-loop.wav,188416,192512,0.006558242719620466,-733.7127,135.39989,-0.19316864,97.42656,6.303501,45.30874,19.105759,5.679165,13.242657,-2.9705276,-13.590393,-2.809639,-0.12704849
47,,None_f47,518488__cyclez__dark-techno-kick-drum-loop.wav,192512,196608,0.010755877010524273,-1009.481,177.81659,58.26472,111.4612,57.67254,51.122856,40.53878,5.01931,27.786148,14.666645,3.9773293,10.646,14.257618
48,,None_f48,518488__cyclez__dark-techno-kick-drum-loop.wav,196608,200704,0.008740718476474285,-1051.802,188.03079,91.954346,92.97873,49.825203,38.18994,30.02594,12.880917,18.171947,6.710926,7.7337723,14.646503,13.119247
49,,None_f49,518488__cyclez__dark-techno-kick-drum-loop.wav,200704,204800,0.005574731156229973,-938.4214,195.77747,59.043095,105.81061,30.967178,32.448174,14.557072,4.786125,10.743134,4.8906326,2.0098953,9.316692,6.311245
50,,None_f50,518488__cyclez__dark-techno-kick-drum-loop.wav,204800,208896,0.001701943576335907,-820.82886,182.56311,-11.643745,97.32373,1.0839081,39.673588,15.23843,2.9549255,17.242699,-2.6157799,-10.164169,2.3747063,2.3792725
51,,None_f51,518488__cyclez__dark-techno-kick-drum-loop.wav,208896,212992,0.004302834626287222,-774.33075,132.65587,-2.6648827,94.284454,7.7261124,42.632534,20.207123,1.7919731,13.946678,-4.4773254,-13.901205,-2.7824936,3.0553513
52,,None_f52,518488__cyclez__dark-techno-kick-drum-loop.wav,212992,217088,0.010911514051258564,-1057.6704,198.8663,111.431946,101.96944,58.67576,40.914986,27.302559,9.768047,16.83717,5.9475746,7.372963,14.117741,6.363125
53,,None_f53,518488__cyclez__dark-techno-kick-drum-loop.wav,217088,221184,0.008825933560729027,-1011.90857,206.16861,85.79872,102.22511,48.18,30.423141,26.390465,8.310417,17.878551,8.643368,5.2229614,8.239857,9.138569
54,,None_f54,518488__cyclez__dark-techno-kick-drum-loop.wav,221184,225280,0.006105668377131224,-845.5438,195.55167,7.9717865,103.16678,10.257393,39.789642,20.269123,4.1269264,20.56382,0.97076416,-2.32473,10.099083,9.80999
55,,None_f55,518488__cyclez__dark-techno-kick-drum-loop.wav,225280,229376,0.002047725487500429,-827.97424,169.82391,-19.494057,101.97333,7.9243927,38.34131,12.4780655,2.1353188,17.907524,3.6973877,-4.1430817,0.83395004,5.994625
56,,None_f56,518488__cyclez__dark-techno-kick-drum-loop.wav,229376,233472,0.0025901328772306442,-925.0971,155.65161,21.266933,111.9821,20.764305,51.365173,30.117256,9.0471115,16.764034,-6.3589478,-9.48595,-0.51200485,1.794548
57,,None_f57,518488__cyclez__dark-techno-kick-drum-loop.wav,233472,237568,0.010518265888094902,-1009.24945,221.25641,95.62146,93.67995,47.875984,36.755188,26.191566,8.935997,21.481812,6.0507317,3.508667,9.401016,3.7373161
58,,None_f58,518488__cyclez__dark-techno-kick-drum-loop.wav,237568,241664,0.009380160830914974,-904.5197,199.02435,18.889488,104.65988,24.890556,47.077377,36.239677,5.0527115,25.725922,-4.348526,-1.4970741,7.3521576,11.953102
